pathway_id	pathway_name	species	common_name	genus	family	plant_order	best_genome_accession	genome_source	genome_level	annotation_present	rna_seq_bioprojects	tissues_covered	year_latest	key_publication_pmid	key_publication_doi	comparative_value	novelty_window	campaign_used_in	last_audit_date	notes
MIA	Monoterpene indole alkaloid biosynthesis	Rauvolfia tetraphylla	Devil-pepper	Rauvolfia	Apocynaceae	Gentianales	GCA_030512225.1	NCBI	contig	partial		leaf	2024		10.1038/s41467-024-46662-5	HIGH	Full ajmaline biosynthetic pathway elucidated (PMC11009098 2024); closely related MIA branch		2026-05-12	365 Mb 76 contigs at NCBI; chromosome-scale literature version exists; 225 SRA genus runs
MIA	Monoterpene indole alkaloid biosynthesis	Rauvolfia serpentina	Indian snakeroot	Rauvolfia	Apocynaceae	Gentianales		none		no		leaf;root	2025			MED	Classical reserpine/ajmaline reference (Kutchan 1988 first plant STR); bioRxiv Oct 2025 de novo assembly fragmented (184k scaffolds N50 7.18Kbp ~22k genes) not yet at NCBI		2026-05-12	Rich SRA via Rauvolfia genus pool (225 runs); SwissProt P68175 STR; Q8GU20 SGD
MIA	Monoterpene indole alkaloid biosynthesis	Ophiorrhiza pumila	(climbing Rubiaceae)	Ophiorrhiza	Rubiaceae	Gentianales	GCA_016586305.1	NCBI	scaffold	yes		hairy_root;leaf	2024		10.1038/s41598-021-83145-x	HIGH	Same family (Rubiaceae) as Uncaria; camptothecin via MIA-strictosidine branch; near-T2T scaffold (440.1 Mb 11 chr 12 scaffolds, Kazusa 2020)		2026-05-12	26 SRA runs; public Rubiaceae transcriptome reference
MIA	Monoterpene indole alkaloid biosynthesis	Cinchona calisaya	Yellow cinchona	Cinchona	Rubiaceae	Gentianales	GCA_046055965.1	NCBI	chromosome	yes		unclear	2024			MED	Quinoline-class (not strict MIA); useful for tribe Cinchoneae phylogeny anchor + WGD-event resolution		2026-05-12	867.8 Mb 17 chr 41,865 PCG annotated (Hebei U 2024)
MIA	Monoterpene indole alkaloid biosynthesis	Cinchona pubescens	Red cinchona	Cinchona	Rubiaceae	Gentianales	GCA_025175665.1	NCBI	contig	no		leaf	2022			LOW	Fragmented contig assembly; redundant with C. calisaya		2026-05-12	889.5 Mb 611 contigs (Kew 2022)
MIA	Monoterpene indole alkaloid biosynthesis	Cinchona ledgeriana	(cultivar of C. officinalis)	Cinchona	Rubiaceae	Gentianales	GWH-Assembly-85330	NGDC-GWH	chromosome	yes		leaf	2024			MED	NGDC-only assembly; used by Nature 2026 cinchona biosynthesis paper (DOI 10.1038/s41586-026-10227-x). NCBI users will not see this		2026-05-12	2024-07-22 NGDC submission
MIA	Monoterpene indole alkaloid biosynthesis	Camptotheca acuminata	Happy tree	Camptotheca	Nyssaceae	Cornales	(GCA_pending_verification)	NCBI	chromosome	yes		leaf;root;bark	2024	34117243	10.1038/s41467-021-23872-9	MED	Camptothecin producer; Cornales NOT Gentianales -> distant outgroup useful for MIA-origin WGD questions; chr-level v3.0 414.95 Mb 22 pseudo-chr literature (Nat Commun 2021)		2026-05-12	GCA accession could not be confirmed via Datasets v2 query 2026-05-12; 143 SRA runs
MIA	Monoterpene indole alkaloid biosynthesis	Voacanga thouarsii	African dream tree	Voacanga	Apocynaceae	Gentianales	GCA_026120185.1	NCBI	scaffold	no		leaf	2024			MED	Iboga-type alkaloid producer; scaffold-level limits gene-cluster work		2026-05-12	1.35 Gb 3,402 scaffolds (Tours U 2022); 3 SRA runs (Voacanga genus pool)
MIA	Monoterpene indole alkaloid biosynthesis	Tabernanthe iboga	Iboga	Tabernanthe	Apocynaceae	Gentianales		none		no			,			LOW	No genome; transcriptome-only; pachysiphine synthase characterized (Kamileen/O'Connor New Phyt 2024)		2026-05-12	0 SRA RNA-Seq runs under organism name; PMID 30030374 Farrow 2018 I10H+N10OMT
MIA	Monoterpene indole alkaloid biosynthesis	Tabernaemontana elegans	Toad-tree	Tabernaemontana	Apocynaceae	Gentianales	GCA_048985745.1	NCBI	scaffold	no		young_leaf	2025			LOW	Iboga-alkaloid-adjacent; thin SRA; large/repetitive 1.07 Gb 2,056 scaffolds (Tours U 2025)		2026-05-12	9 SRA runs (Tabernaemontana genus pool)
MIA	Monoterpene indole alkaloid biosynthesis	Vinca minor	Lesser periwinkle	Vinca	Apocynaceae	Gentianales	GCA_026122235.1	NCBI	contig	no		leaf;root	2022			LOW-MED	Eburnamine/vincamine biosynthesis is Aspidosperma-class MIA; distal pathway only		2026-05-12	679 Mb 295 contigs (Tours U 2022); 12 SRA runs (Vinca pool)
MIA	Monoterpene indole alkaloid biosynthesis	Vinca major	Greater periwinkle	Vinca	Apocynaceae	Gentianales	GCA_028566175.1	NCBI	scaffold	no		leaf	2023			LOW	Illumina-only fragmented assembly		2026-05-12	526.5 Mb 278k scaffolds (Iridian Genomics 2023)
